insert into RESTOCKEVENT values(1, 201, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(517, 269, (TO_DATE('04/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(518, 33, (TO_DATE('04/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(519, 174, (TO_DATE('04/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(520, 36, (TO_DATE('04/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(521, 234, (TO_DATE('04/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(522, 276, (TO_DATE('04/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(523, 268, (TO_DATE('04/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(524, 66, (TO_DATE('04/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(525, 130, (TO_DATE('04/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(526, 343, (TO_DATE('04/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(527, 22, (TO_DATE('04/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(528, 348, (TO_DATE('05/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(529, 315, (TO_DATE('05/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(530, 147, (TO_DATE('05/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(531, 332, (TO_DATE('05/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(532, 220, (TO_DATE('05/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(533, 288, (TO_DATE('05/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(534, 331, (TO_DATE('05/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(535, 6, (TO_DATE('05/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(536, 201, (TO_DATE('05/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(537, 213, (TO_DATE('05/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(538, 135, (TO_DATE('05/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(539, 63, (TO_DATE('05/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(540, 113, (TO_DATE('05/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(541, 188, (TO_DATE('05/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(542, 67, (TO_DATE('05/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(543, 232, (TO_DATE('05/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(544, 88, (TO_DATE('05/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(545, 21, (TO_DATE('05/15/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(546, 246, (TO_DATE('05/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(547, 46, (TO_DATE('05/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(548, 151, (TO_DATE('05/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(549, 359, (TO_DATE('05/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(550, 307, (TO_DATE('05/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(551, 285, (TO_DATE('05/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(552, 357, (TO_DATE('05/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(553, 69, (TO_DATE('05/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(554, 227, (TO_DATE('05/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(555, 144, (TO_DATE('05/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(556, 210, (TO_DATE('05/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(557, 212, (TO_DATE('05/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(558, 163, (TO_DATE('05/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(559, 78, (TO_DATE('05/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(560, 282, (TO_DATE('05/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(561, 91, (TO_DATE('05/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(562, 31, (TO_DATE('05/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(563, 112, (TO_DATE('05/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(564, 192, (TO_DATE('05/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(565, 155, (TO_DATE('05/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(566, 7, (TO_DATE('05/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(567, 216, (TO_DATE('05/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(568, 209, (TO_DATE('05/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(569, 297, (TO_DATE('05/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(570, 156, (TO_DATE('05/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(571, 70, (TO_DATE('05/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(572, 52, (TO_DATE('05/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(573, 117, (TO_DATE('05/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(574, 19, (TO_DATE('05/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(575, 44, (TO_DATE('05/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(576, 25, (TO_DATE('05/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(577, 239, (TO_DATE('05/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(578, 2, (TO_DATE('05/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(579, 308, (TO_DATE('06/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(580, 115, (TO_DATE('06/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(581, 165, (TO_DATE('06/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(582, 132, (TO_DATE('06/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(583, 345, (TO_DATE('06/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(584, 238, (TO_DATE('06/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(585, 45, (TO_DATE('06/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(586, 336, (TO_DATE('06/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(587, 271, (TO_DATE('06/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(588, 86, (TO_DATE('06/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(589, 50, (TO_DATE('06/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(590, 320, (TO_DATE('06/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(591, 337, (TO_DATE('06/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(592, 204, (TO_DATE('06/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(593, 82, (TO_DATE('06/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(594, 53, (TO_DATE('06/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(595, 106, (TO_DATE('06/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(596, 161, (TO_DATE('06/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(597, 258, (TO_DATE('06/15/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(598, 68, (TO_DATE('06/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(599, 32, (TO_DATE('06/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(600, 104, (TO_DATE('06/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(601, 49, (TO_DATE('06/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(602, 195, (TO_DATE('06/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(603, 97, (TO_DATE('06/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(604, 13, (TO_DATE('06/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(605, 235, (TO_DATE('06/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(606, 9, (TO_DATE('06/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(607, 182, (TO_DATE('06/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(608, 12, (TO_DATE('06/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(609, 341, (TO_DATE('06/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(610, 264, (TO_DATE('06/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(611, 287, (TO_DATE('06/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(612, 319, (TO_DATE('06/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(613, 167, (TO_DATE('07/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(614, 205, (TO_DATE('07/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(615, 335, (TO_DATE('07/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(616, 229, (TO_DATE('07/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(617, 275, (TO_DATE('07/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(618, 197, (TO_DATE('07/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(619, 183, (TO_DATE('07/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(620, 261, (TO_DATE('07/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(621, 172, (TO_DATE('07/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(622, 140, (TO_DATE('07/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(623, 23, (TO_DATE('07/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(624, 109, (TO_DATE('07/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(625, 189, (TO_DATE('07/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(626, 43, (TO_DATE('07/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(627, 325, (TO_DATE('07/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(628, 339, (TO_DATE('07/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(629, 79, (TO_DATE('07/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(630, 245, (TO_DATE('07/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(631, 124, (TO_DATE('07/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(632, 73, (TO_DATE('07/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(633, 249, (TO_DATE('07/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(634, 186, (TO_DATE('07/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(635, 199, (TO_DATE('07/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(636, 60, (TO_DATE('07/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(637, 40, (TO_DATE('07/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(638, 247, (TO_DATE('07/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(639, 263, (TO_DATE('07/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(640, 179, (TO_DATE('07/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(641, 291, (TO_DATE('07/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(642, 95, (TO_DATE('07/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(643, 256, (TO_DATE('07/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(644, 84, (TO_DATE('07/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(645, 338, (TO_DATE('08/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(646, 294, (TO_DATE('08/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(647, 93, (TO_DATE('08/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(648, 154, (TO_DATE('08/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(649, 298, (TO_DATE('08/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(650, 346, (TO_DATE('08/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(651, 334, (TO_DATE('08/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(652, 180, (TO_DATE('08/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(653, 61, (TO_DATE('08/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(654, 351, (TO_DATE('08/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(655, 257, (TO_DATE('08/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(656, 355, (TO_DATE('08/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(657, 223, (TO_DATE('08/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(658, 329, (TO_DATE('08/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(659, 116, (TO_DATE('08/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(660, 101, (TO_DATE('08/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(661, 321, (TO_DATE('08/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(662, 170, (TO_DATE('08/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(663, 120, (TO_DATE('08/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(664, 231, (TO_DATE('08/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(665, 111, (TO_DATE('08/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(666, 206, (TO_DATE('08/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(667, 37, (TO_DATE('08/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(668, 309, (TO_DATE('08/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(669, 148, (TO_DATE('08/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(670, 203, (TO_DATE('08/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(671, 29, (TO_DATE('09/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(672, 349, (TO_DATE('09/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(673, 71, (TO_DATE('09/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(674, 313, (TO_DATE('09/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(675, 137, (TO_DATE('09/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(676, 143, (TO_DATE('09/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(677, 242, (TO_DATE('09/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(678, 168, (TO_DATE('09/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(679, 255, (TO_DATE('09/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(680, 128, (TO_DATE('09/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(681, 89, (TO_DATE('09/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(682, 90, (TO_DATE('09/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(683, 219, (TO_DATE('09/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(684, 171, (TO_DATE('09/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(685, 11, (TO_DATE('09/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(686, 316, (TO_DATE('09/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(687, 354, (TO_DATE('09/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(688, 164, (TO_DATE('09/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(689, 241, (TO_DATE('09/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(690, 254, (TO_DATE('09/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(691, 252, (TO_DATE('09/26/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(692, 30, (TO_DATE('09/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(693, 350, (TO_DATE('09/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(694, 17, (TO_DATE('09/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(695, 107, (TO_DATE('10/02/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(696, 123, (TO_DATE('10/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(697, 211, (TO_DATE('10/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(698, 105, (TO_DATE('10/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(699, 34, (TO_DATE('10/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(700, 222, (TO_DATE('10/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(701, 119, (TO_DATE('10/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(702, 141, (TO_DATE('10/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(703, 41, (TO_DATE('10/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(704, 27, (TO_DATE('10/11/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(705, 59, (TO_DATE('10/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(706, 24, (TO_DATE('10/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(707, 129, (TO_DATE('10/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(708, 16, (TO_DATE('10/25/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(709, 310, (TO_DATE('10/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(710, 18, (TO_DATE('11/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(711, 142, (TO_DATE('11/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(712, 81, (TO_DATE('11/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(713, 187, (TO_DATE('11/09/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(714, 118, (TO_DATE('11/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(715, 267, (TO_DATE('11/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(716, 57, (TO_DATE('11/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(717, 185, (TO_DATE('11/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(718, 217, (TO_DATE('11/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(719, 208, (TO_DATE('11/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(720, 305, (TO_DATE('11/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(721, 311, (TO_DATE('12/01/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(722, 318, (TO_DATE('12/08/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(723, 166, (TO_DATE('12/20/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(724, 191, (TO_DATE('12/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(725, 347, (TO_DATE('01/04/2007', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(726, 243, (TO_DATE('01/15/2007', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(727, 184, (TO_DATE('01/17/2007', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(728, 314, (TO_DATE('01/18/2007', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(729, 353, (TO_DATE('01/19/2007', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(730, 279, (TO_DATE('01/22/2007', 'mm/dd/yyyy')), 100); 
